kerajaan;orang;peran;ayah;ibu;pasangan;anak;namaKerajaan;ibuKota;agama;pendahulu;penerus;tahunMulai;wikidataID;tglLahir;tglMati;saudara;kerabat;dinasti;personWikidataID;source;confidence_score;manual_check;data_source;master_id;orang_PageRank;orang_Louvain_Cluster;orang_Betweenness;orang_AdamicAdar_Avg;kerajaan_PageRank;kerajaan_Louvain_Cluster;kerajaan_Betweenness
Kesultanan Banjar;Soeria Kasoema;pejabat pemerintahan;Bayan Aji;Galuh Salamah;Ratu Lim Pe Tek Nio (Siti Ra’imah);;;Banjarmasin, Martapura, South Kalimantan, Murung Raya Regency;Sunni Islam;Negara Daha;Dutch East Indies;1526.0;;;;HM Normas, Ung Dibab (M. Jafri), Galuh Rahmah, Galuh Amnah (Aminah), H Hamid, HM Said (Corong);;;http://www.wikidata.org/entity/Q12515777;llm_imputed;0.95;False;Wikipedia Scrape;Soeria Kasoema;0.0019439780925336215;0;0.0080731412799724;0.3235154531486725;0.023729428793184494;1;0.024912310965441893
Kerajaan Klungkung;Dewa Agung Jambe I;;;;;Dewa Agung Gede;;;;;;;;;;;Dalem Di Made;;http://www.wikidata.org/entity/Q121154102;wikidata;1.0;False;;Dewa Agung Jambe I;0.003101119215601421;7;0.00024150422632396068;0.50805631408693;0.014440650974507804;7;0.0013023977919613594
Kerajaan Klungkung;Dewa Agung Jambe II;;Dewa Agung Putra III Bhatara Dalem;;;;;;;;;;;;;;Dewa Agung Oka Geg;;http://www.wikidata.org/entity/Q121154115;wikidata;1.0;False;;Dewa Agung Jambe II;0.004738777592593021;7;8.625150940141453e-06;0.4170323914242463;0.014440650974507804;7;0.0013023977919613594
Kerajaan Klungkung;Dewa Agung Putra I Kusamba;;Dewa Agung Śakti;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q121154109;wikidata;1.0;False;;Dewa Agung Putra I Kusamba;0.0037122890920872373;7;8.625150940141453e-06;0.6523258181758264;0.014440650974507804;7;0.0013023977919613594
Kerajaan Klungkung;Dewa Agung Putra III Bhatara Dalem;;;;;Dewa Agung Jambe II;;;;;;;;;;;;;http://www.wikidata.org/entity/Q121154113;wikidata;1.0;False;;Dewa Agung Putra III Bhatara Dalem;0.00328562504069876;7;0.0;0.5080563140869301;0.014440650974507804;7;0.0013023977919613594
Kesultanan Siak Sri Inderapura;Sultan Assyaidis Syarif Hasyim Abdul Jalil;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q115163988;wikidata;1.0;False;;Sultan Assyaidis Syarif Hasyim Abdul Jalil;0.0019439780925336215;2;0.0;0.5581106265512472;0.007177274787823441;2;0.0011902708297395206
Kadipaten Surabaya;Jayalengkara;;;;;Pangeran Pekik;;Surabaya;Islam;Demak Sultanate;Mataram Sultanate;;;;;;;;http://www.wikidata.org/entity/Q133897328;wikidata;1.0;False;;Jayalengkara;0.003381526500650478;3;0.0;1.4426950408889634;0.0048190749087673335;3;0.0
Kesultanan Banjar;Adam dari Banjar;Sultan Banjar;Sulaiman dari Banjar;;;;;;;;;;;1776-01-01T00:00:00Z;;;;;http://www.wikidata.org/entity/Q16163200;llm_imputed;0.8;False;Wikipedia Scrape;Adam dari Banjar;0.0019439780925336215;1;0.0;0.39221521700052797;0.023729428793184494;1;0.024912310965441893
Kerajaan Mataram;Dyah Gula;;Rakai Warak;;;;;;;;;;;;;;;Wangsa Sailendra;http://www.wikidata.org/entity/Q130548966;wikidata;1.0;False;;Dyah Gula;0.0019439780925336215;4;0.00017250301880282907;0.5581106265512472;0.008512056163828458;4;0.0006813869242711748
Kesultanan Cirebon;Rara Santang;;Sri Baduga Maharaja;;Syarif Abdullah Umdatuddin;Sunan Gunung Jati;;;;;;;;1426-01-01T00:00:00Z;;;;;http://www.wikidata.org/entity/Q136235790;wikidata;1.0;False;;Rara Santang;0.0028628254536632192;5;0.00818958081766431;1.0306233045258646;0.004770561299687042;5;0.005051463400609512
Kerajaan Sunda;Rara Santang;;Sri Baduga Maharaja;;Syarif Abdullah Umdatuddin;Sunan Gunung Jati;;;;;;;;1426-01-01T00:00:00Z;;;;;http://www.wikidata.org/entity/Q136235790;wikidata;1.0;False;;Rara Santang;0.0028628254536632192;5;0.00818958081766431;1.0306233045258646;0.006164908013425225;5;0.0051334023345408555
Majapahit;Mpu Tantular;;;;adik wanita Hayam Wuruk;Mpu Semaranata, Mpu Sidimantra, Mpu Panawasikan, Mpu Kepakisan;Majapahit;Trowulan;;Singhasari;Demak Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;;Hayam Wuruk (keponakan);;;http://www.wikidata.org/entity/Q108887941;llm_imputed;0.8;False;Wikipedia Scrape;Mpu Tantular;0.0019439780925336215;6;0.010194928411247198;0.36926937306885504;0.011990200389390741;8;0.059277787361278825
Majapahit;Mpu Tantular;;;;adik wanita Hayam Wuruk;Mpu Semaranata, Mpu Sidimantra, Mpu Panawasikan, Mpu Kepakisan;Majapahit;Trowulan;;Singhasari;Pagaruyung Kingdom;1292.0;http://www.wikidata.org/entity/Q49326;;;Hayam Wuruk (keponakan);;;http://www.wikidata.org/entity/Q108887941;llm_imputed;0.8;False;Wikipedia Scrape;Mpu Tantular;0.0019439780925336215;6;0.010194928411247198;0.36926937306885504;0.011990200389390741;8;0.059277787361278825
Majapahit;Mpu Tantular;;;;adik wanita Hayam Wuruk;Mpu Semaranata, Mpu Sidimantra, Mpu Panawasikan, Mpu Kepakisan;Majapahit;Trowulan;;Singhasari;Blambangan Kingdom;1292.0;http://www.wikidata.org/entity/Q49326;;;Hayam Wuruk (keponakan);;;http://www.wikidata.org/entity/Q108887941;llm_imputed;0.8;False;Wikipedia Scrape;Mpu Tantular;0.0019439780925336215;6;0.010194928411247198;0.36926937306885504;0.011990200389390741;8;0.059277787361278825
Majapahit;Mpu Tantular;;;;adik wanita Hayam Wuruk;Mpu Semaranata, Mpu Sidimantra, Mpu Panawasikan, Mpu Kepakisan;Majapahit;Trowulan;;Singhasari;Malacca Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;;Hayam Wuruk (keponakan);;;http://www.wikidata.org/entity/Q108887941;llm_imputed;0.8;False;Wikipedia Scrape;Mpu Tantular;0.0019439780925336215;6;0.010194928411247198;0.36926937306885504;0.011990200389390741;8;0.059277787361278825
Majapahit;Mpu Tantular;;;;adik wanita Hayam Wuruk;Mpu Semaranata, Mpu Sidimantra, Mpu Panawasikan, Mpu Kepakisan;Majapahit;Trowulan;;Singhasari;Sultanate of Gowa;1292.0;http://www.wikidata.org/entity/Q49326;;;Hayam Wuruk (keponakan);;;http://www.wikidata.org/entity/Q108887941;llm_imputed;0.8;False;Wikipedia Scrape;Mpu Tantular;0.0019439780925336215;6;0.010194928411247198;0.36926937306885504;0.011990200389390741;8;0.059277787361278825
Majapahit;Mpu Tantular;;;;adik wanita Hayam Wuruk;Mpu Semaranata, Mpu Sidimantra, Mpu Panawasikan, Mpu Kepakisan;Majapahit;Trowulan;;Singhasari;Bruneian Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;;Hayam Wuruk (keponakan);;;http://www.wikidata.org/entity/Q108887941;llm_imputed;0.8;False;Wikipedia Scrape;Mpu Tantular;0.0019439780925336215;6;0.010194928411247198;0.36926937306885504;0.011990200389390741;8;0.059277787361278825
Kesultanan Banjar;Surya Alam dari Banjar;Sultan Banjar;Tahlilullah;;;Tamjidillah I dari Banjar;;Banjarmasin, Martapura, South Kalimantan, Murung Raya Regency;Sunni Islam;Negara Daha;Dutch East Indies;1526.0;;;;;;;http://www.wikidata.org/entity/Q12518174;wikidata;1.0;False;;Surya Alam dari Banjar;0.00473377121995786;1;8.625150940141453e-06;0.4355599420779965;0.023729428793184494;1;0.024912310965441893
Kerajaan Klungkung;Dewa Agung Putra II;;;;;;;;;;;;;;;Dewa Agung Istri Kanya;;;http://www.wikidata.org/entity/Q121154111;wikidata;1.0;False;;Dewa Agung Putra II;0.002357133094793344;7;0.0;0.6034970354874166;0.014440650974507804;7;0.0013023977919613594
Kesultanan Banjar;Inayatullah dari Banjar;Sultan Banjar;Mustain Billah dari Banjar;;;Sultan Agung dari Banjar;;Banjarmasin, Martapura, South Kalimantan, Murung Raya Regency;Sunni Islam;Negara Daha;Dutch East Indies;1526.0;;;;;;;http://www.wikidata.org/entity/Q10965522;wikidata;1.0;False;;Inayatullah dari Banjar;0.00429592715663717;1;0.0009746420562359843;0.4102049033036095;0.023729428793184494;1;0.024912310965441893
Kesultanan Banjar;Hamidullah dari Banjar;Sultan Banjar;Amirullah Bagus Kesuma;;;Pangeran Mohammad Aliuddin Aminullah;;;;;;;;;;Pangeran Tamjidillah I;;;http://www.wikidata.org/entity/Q17998598;llm_imputed;0.9;False;Wikipedia Scrape;Tahmidullah II dari Banjar;0.0019439780925336215;1;0.0028462998102466797;0.3235154531486725;0.023729428793184494;1;0.024912310965441893
Kesultanan Banjar;Inayatullah dari Banjar;Sultan Banjar;Mustain Billah dari Banjar;;;Saidullah dari Banjar;;Banjarmasin, Martapura, South Kalimantan, Murung Raya Regency;Sunni Islam;Negara Daha;Dutch East Indies;1526.0;;;;;;;http://www.wikidata.org/entity/Q10965522;wikidata;1.0;False;;Inayatullah dari Banjar;0.00429592715663717;1;0.0009746420562359843;0.4102049033036095;0.023729428793184494;1;0.024912310965441893
Majapahit;Kusumawardhani;;;;Wikramawardhana;;Majapahit;Trowulan;;Singhasari;Demak Sultanate;;http://www.wikidata.org/entity/Q49326;;;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q119359616;wikidata;1.0;False;;Kusumawardhani;0.00236168119041596;8;0.0;0.4112340960649422;0.011990200389390741;8;0.059277787361278825
Majapahit;Kusumawardhani;;;;Wikramawardhana;;Majapahit;Trowulan;;Singhasari;Pagaruyung Kingdom;;http://www.wikidata.org/entity/Q49326;;;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q119359616;wikidata;1.0;False;;Kusumawardhani;0.00236168119041596;8;0.0;0.4112340960649422;0.011990200389390741;8;0.059277787361278825
Majapahit;Kusumawardhani;;;;Wikramawardhana;;Majapahit;Trowulan;;Singhasari;Blambangan Kingdom;;http://www.wikidata.org/entity/Q49326;;;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q119359616;wikidata;1.0;False;;Kusumawardhani;0.00236168119041596;8;0.0;0.4112340960649422;0.011990200389390741;8;0.059277787361278825
Majapahit;Kusumawardhani;;;;Wikramawardhana;;Majapahit;Trowulan;;Singhasari;Malacca Sultanate;;http://www.wikidata.org/entity/Q49326;;;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q119359616;wikidata;1.0;False;;Kusumawardhani;0.00236168119041596;8;0.0;0.4112340960649422;0.011990200389390741;8;0.059277787361278825
Majapahit;Kusumawardhani;;;;Wikramawardhana;;Majapahit;Trowulan;;Singhasari;Sultanate of Gowa;;http://www.wikidata.org/entity/Q49326;;;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q119359616;wikidata;1.0;False;;Kusumawardhani;0.00236168119041596;8;0.0;0.4112340960649422;0.011990200389390741;8;0.059277787361278825
Majapahit;Kusumawardhani;;;;Wikramawardhana;;Majapahit;Trowulan;;Singhasari;Bruneian Sultanate;;http://www.wikidata.org/entity/Q49326;;;;;Wangsa Rajasa;http://www.wikidata.org/entity/Q119359616;wikidata;1.0;False;;Kusumawardhani;0.00236168119041596;8;0.0;0.4112340960649422;0.011990200389390741;8;0.059277787361278825
Kesunanan Surakarta;Kanjeng Raden Mas Haryo Wuryaningrat;Ketua;;;;;;Surakarta;Kejawèn, Sunni Islam;Mataram Sultanate;Special Region of Surakarta;;;;;Kanjeng Raden Mas Haryo Sosrodiningrat V;;Kesunanan Surakarta;http://www.wikidata.org/entity/Q104765484;wikidata;1.0;False;;Kanjeng Raden Mas Haryo Wuryaningrat;0.0019439780925336215;23;0.0003277557357253752;1.4426950408889634;0.0027014289300097798;23;0.0004140072451267897
Majapahit;Sunan Mertayasa;;Maulana Ishaq;;;;Majapahit;Trowulan;;Singhasari;Demak Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q137543347;wikidata;1.0;False;;Sunan Mertayasa;0.0019439780925336215;8;0.0017422804899085735;0.36926937306885504;0.011990200389390741;8;0.059277787361278825
Majapahit;Sunan Mertayasa;;Maulana Ishaq;;;;Majapahit;Trowulan;;Singhasari;Pagaruyung Kingdom;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q137543347;wikidata;1.0;False;;Sunan Mertayasa;0.0019439780925336215;8;0.0017422804899085735;0.36926937306885504;0.011990200389390741;8;0.059277787361278825
Majapahit;Sunan Mertayasa;;Maulana Ishaq;;;;Majapahit;Trowulan;;Singhasari;Blambangan Kingdom;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q137543347;wikidata;1.0;False;;Sunan Mertayasa;0.0019439780925336215;8;0.0017422804899085735;0.36926937306885504;0.011990200389390741;8;0.059277787361278825
Majapahit;Sunan Mertayasa;;Maulana Ishaq;;;;Majapahit;Trowulan;;Singhasari;Malacca Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q137543347;wikidata;1.0;False;;Sunan Mertayasa;0.0019439780925336215;8;0.0017422804899085735;0.36926937306885504;0.011990200389390741;8;0.059277787361278825
Majapahit;Sunan Mertayasa;;Maulana Ishaq;;;;Majapahit;Trowulan;;Singhasari;Sultanate of Gowa;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q137543347;wikidata;1.0;False;;Sunan Mertayasa;0.0019439780925336215;8;0.0017422804899085735;0.36926937306885504;0.011990200389390741;8;0.059277787361278825
Majapahit;Sunan Mertayasa;;Maulana Ishaq;;;;Majapahit;Trowulan;;Singhasari;Bruneian Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q137543347;wikidata;1.0;False;;Sunan Mertayasa;0.0019439780925336215;8;0.0017422804899085735;0.36926937306885504;0.011990200389390741;8;0.059277787361278825
Kesultanan Banjar;Tamjidillah I dari Banjar;Sultan Banjar;Surya Alam dari Banjar;;;Tahmidullah II dari Banjar;;Banjarmasin, Martapura, South Kalimantan, Murung Raya Regency;Sunni Islam;Negara Daha;Dutch East Indies;1526.0;;;;;;;http://www.wikidata.org/entity/Q19741752;wikidata;1.0;False;;Tahmidullah II dari Banjar;0.00541096785715969;1;2.3000402507043873e-05;0.45354962838107804;0.023729428793184494;1;0.024912310965441893
Kesunanan Surakarta;Kanjeng Raden Mas Haryo Wuryaningrat;anggota parlemen;;;;;;Surakarta;Kejawèn, Sunni Islam;Mataram Sultanate;Special Region of Surakarta;;;;;Kanjeng Raden Mas Haryo Sosrodiningrat V;;Kesunanan Surakarta;http://www.wikidata.org/entity/Q104765484;wikidata;1.0;False;;Kanjeng Raden Mas Haryo Wuryaningrat;0.0019439780925336215;23;0.0003277557357253752;1.4426950408889634;0.0027014289300097798;23;0.0004140072451267897
Kesultanan Siak Sri Inderapura;Sayyid Usman Syahabuddin;syekh;;;;Sultan Syarif Abdurrahman;;;;;;;;;;;;;http://www.wikidata.org/entity/Q135319723;wikidata;1.0;False;;Sayyid Usman Syahabuddin;0.0019439780925336215;2;0.00039675694324650684;0.5581106265512472;0.007177274787823441;2;0.0011902708297395206
Kesultanan Banjar;Muhammad Seman dari Banjar;Sultan Banjar;Pangeran Antasari;Nyai Fatimah;two Dayak princesses from the Ot Danum tribe;Gusti Berakit;;Banjarmasin, Martapura, South Kalimantan, Murung Raya Regency;Sunni Islam;Negara Daha;Dutch East Indies;1526.0;;1897-01-01T00:00:00Z;;;;;http://www.wikidata.org/entity/Q12499382;llm_imputed;0.9;False;Wikipedia Scrape;Muhammad Seman dari Banjar;0.0019439780925336215;1;0.0037605658099016735;0.3235154531486725;0.023729428793184494;1;0.024912310965441893
Kesultanan Banjar;Rakyatullah dari Banjar;Sultan Banjar;Marhum Panembahan;Seorang selir dari suku Jawa;Andin Hayu, Nyai Mas Tapi;Raden Hangkut (Pangeran Aria Wiraraja), Puteri Samut (Puteri Galuh Hasanah), Puteri Kumkuma;;Banjarmasin, Martapura, South Kalimantan, Murung Raya Regency;Sunni Islam;Negara Daha;Dutch East Indies;1526.0;;;;;;;http://www.wikidata.org/entity/Q12507782;llm_imputed;0.9;False;Wikipedia Scrape;Rahmatullah dari Banjar;0.0019439780925336215;1;0.006399861997584958;0.3235154531486725;0.023729428793184494;1;0.024912310965441893
Kesultanan Banjar;Tamjidullah II dari Banjar;Sultan Banjar;Tamjidillah I dari Banjar;;;Sulaiman dari Banjar;;Banjarmasin, Martapura, South Kalimantan, Murung Raya Regency;Sunni Islam;Negara Daha;Dutch East Indies;1526.0;;1727-01-01T00:00:00Z;1801-04-19T00:00:00Z;;;;http://www.wikidata.org/entity/Q12517718;wikidata;1.0;False;;Tahmidullah II dari Banjar;0.0019439780925336215;1;5.750100626760968e-06;0.4609149808523834;0.023729428793184494;1;0.024912310965441893
