kerajaan;orang;peran;ayah;ibu;pasangan;anak;namaKerajaan;ibuKota;agama;pendahulu;penerus;tahunMulai;wikidataID;tglLahir;tglMati;saudara;kerabat;dinasti;personWikidataID;orang_PageRank;orang_Louvain_Cluster;kerajaan_PageRank;kerajaan_Louvain_Cluster
Kesultanan Banjar;Soeria Kasoema;pejabat pemerintahan;Bayan Aji;Galuh Salamah;Ratu Lim Pe Tek Nio (Siti Ra’imah);;;Banjarmasin, Martapura, South Kalimantan, Murung Raya Regency;Sunni Islam;Negara Daha;Dutch East Indies;1526.0;;;;HM Normas, Ung Dibab (M. Jafri), Galuh Rahmah, Galuh Amnah (Aminah), H Hamid, HM Said (Datu M Said);;;http://www.wikidata.org/entity/Q12515777;0.0019840325587610046;0;0.022505893445362482;5
Kerajaan Klungkung;Dewa Agung Jambe I;;;;;Dewa Agung Gede;;;;;;;;;;;Dalem Di Made;;http://www.wikidata.org/entity/Q121154102;0.003165107890661003;1;0.014739077036949672;1
Kerajaan Klungkung;Dewa Agung Jambe II;;Dewa Agung Putra III Bhatara Dalem;;;;;;;;;;;;;;Dewa Agung Oka Geg;;http://www.wikidata.org/entity/Q121154115;0.004836680341438155;1;0.014739077036949672;1
Kerajaan Klungkung;Dewa Agung Putra I Kusamba;;Dewa Agung Śakti;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q121154109;0.0037889079659054483;1;0.014739077036949672;1
Kerajaan Klungkung;Dewa Agung Putra III Bhatara Dalem;;;;;Dewa Agung Jambe II;;;;;;;;;;;;;http://www.wikidata.org/entity/Q121154113;0.0033533855507873593;1;0.014739077036949672;1
Kesultanan Siak Sri Inderapura;Sultan Assyaidis Syarif Hasyim Abdul Jalil;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q115163988;0.0019840325587610046;2;0.007325246363259994;2
Kadipaten Surabaya;Jayalengkara;;;;;Pangeran Pekik;;Surabaya;Islam;Demak Sultanate;Mataram Sultanate;;;;;;;;http://www.wikidata.org/entity/Q133897328;0.003451271022446526;3;0.004918509486132048;3
Kesultanan Banjar;Adam dari Banjar;Sultan Banjar;Sulaiman dari Banjar;;;3 anak laki-laki;;;;;;;;1776-01-01T00:00:00Z;;5 orang saudara kandung, 17 orang saudara seayah;;;http://www.wikidata.org/entity/Q16163200;0.0019840325587610046;5;0.022505893445362482;5
Kerajaan Mataram;Dyah Gula;;Rakai Warak;;;;;;;;;;;;;;;Wangsa Sailendra;http://www.wikidata.org/entity/Q130548966;0.0019840325587610046;12;0.008688047963907047;12
Kesultanan Cirebon;Rara Santang;;Sri Baduga Maharaja;;Syarif Abdullah Umdatuddin;Sunan Gunung Jati;;;;;;;;1426-01-01T00:00:00Z;;;;;http://www.wikidata.org/entity/Q136235790;0.002921842515298892;4;0.004920134662767006;4
Kerajaan Sunda;Rara Santang;;Sri Baduga Maharaja;;Syarif Abdullah Umdatuddin;Sunan Gunung Jati;;;;;;;;1426-01-01T00:00:00Z;;;;;http://www.wikidata.org/entity/Q136235790;0.002921842515298892;4;0.006292044446020286;4
Majapahit;Mpu Tantular;;;;Adik wanita Hayam Wuruk;Mpu Semaranata, Mpu Sidimantra, Mpu Panawasikan, Mpu Kepakisan;Majapahit;Trowulan;;Singhasari;Demak Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q108887941;0.0019840325587610046;6;0.012237431168675175;6
